name,TRI,mean_elev,median_elev,min_elev,max_elev,mean_csi,sd_csi,n_habitat,archipelago
Andros.1,3.525376083,3.21350365,3,-26,13,0.142796006,0.00815578,9,carib
Andros.10,3.303268551,5.55799373,6,2,16,0.129572615,NA,3,carib
Andros.11,3.341573216,3.469211823,3,0,8,0.135681316,NA,10,carib
Andros.12,3.273075718,3.639850327,4,0,8,0.136939079,NA,9,carib
Andros.13,3.03477175,3.739726027,4,0,8,NA,NA,10,carib
Andros.14,4.788030481,0.536803365,0,-5,14,0.127576441,NA,3,carib
Andros.15,3.661920809,3.717147436,4,-1,18,0.134193346,NA,10,carib
Andros.16,3.56827542,4.006514658,4,-1,13,0.138143271,NA,6,carib
Andros.17,7.741214767,4.077868852,4,-36,28,0.160753801,NA,7,carib
Andros.18,3.320794666,3.540617473,3,-32,28,0.129340301,0.000370984,13,carib
Andros.19,3.941306335,3.306936965,3,-64,49,0.135594316,0.00624156,9,carib
Andros.2,4.256107512,4.270676692,4,-4,17,0.132419132,0.008657922,8,carib
Andros.20,5.979406601,3.303964758,4,-46,18,0.153453924,0.010323586,8,carib
Andros.21,3.362508194,3.729241877,4,-1,9,0.128347129,0.00060402,5,carib
Andros.22,3.998033367,2.660377358,3,-10,8,0.139069594,0.001988773,8,carib
Andros.23,9.258046253,2.412556054,3,-32,24,0.140843824,0.003251313,6,carib
Andros.24,3.157206357,2.885201093,3,-13,43,0.138544798,NA,8,carib
Andros.25,7.300949628,2.252152522,3,-46,56,0.137931231,0.009714624,9,carib
Andros.26,3.10188438,3.230088496,3,0,11,0.135964192,0.008736357,6,carib
Andros.27,4.727241508,3.135667396,3,-20,35,0.141254716,0.004056666,9,carib
Andros.28,5.27922227,4.735294118,5,-7,34,0.12564671,0.000234063,9,carib
Andros.29,3.896317422,4.2,4,1,12,0.126694456,0.000411585,7,carib
Andros.3,2.802378796,4.232091691,4,0,8,0.155278996,NA,9,carib
Andros.30,3.276137863,4.104395604,4,-16,11,0.125137152,0.001186099,7,carib
Andros.31,3.084167533,4.302884615,4,-2,11,0.125107273,NA,6,carib
Andros.32,3.562755928,4.618229855,4,-1,26,0.124537293,0.00067631,8,carib
Andros.33,5.825250133,3.377570093,3,-23,56,0.144306228,NA,5,carib
