"scientificName","acceptedScientificName","decimalLatitude","decimalLongitude","basisOfRecord","occurrenceStatus","genericName","specificEpithet","datasetKey","Species","featurecla","name","areas"
"Lamprologus wauthioni Poll, 1949","Neolamprologus wauthioni (Poll, 1949)",-6.03333,29.2,"PRESERVED_SPECIMEN","PRESENT","Lamprologus","wauthioni","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Lamprologus wauthioni","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus modestus (Boulenger, 1898)","Neolamprologus modestus (Boulenger, 1898)",-5.93333,29.2,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","modestus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus modestus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus tetracanthus (Boulenger, 1899)","Neolamprologus tetracanthus (Boulenger, 1899)",-6.5,29.91667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","tetracanthus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus tetracanthus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus mondabu (Boulenger, 1906)","Neolamprologus mondabu (Boulenger, 1906)",-5.65,29.41667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","mondabu","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus mondabu","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus modestus (Boulenger, 1898)","Neolamprologus modestus (Boulenger, 1898)",-5.95,29.2,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","modestus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus modestus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus tretocephalus (Boulenger, 1899)","Neolamprologus tretocephalus (Boulenger, 1899)",-5.53333,29.36667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","tretocephalus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus tretocephalus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus tetracanthus (Boulenger, 1899)","Neolamprologus tetracanthus (Boulenger, 1899)",-8.08333,30.56667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","tetracanthus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus tetracanthus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus tetracanthus (Boulenger, 1899)","Neolamprologus tetracanthus (Boulenger, 1899)",-8.21667,30.58333,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","tetracanthus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus tetracanthus","Lake","Lake Tanganyika",32896759543.8782
"Neolamprologus modestus (Boulenger, 1898)","Neolamprologus modestus (Boulenger, 1898)",-8.08333,30.56667,"PRESERVED_SPECIMEN","PRESENT","Neolamprologus","modestus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Neolamprologus modestus","Lake","Lake Tanganyika",32896759543.8782
"Lamprologus sexfasciatus Trewavas & Poll, 1952","Neolamprologus sexfasciatus (Trewavas & Poll, 1952)",-6.96667,29.75,"PRESERVED_SPECIMEN","PRESENT","Lamprologus","sexfasciatus","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","Lamprologus sexfasciatus","Lake","Lake Tanganyika",32896759543.8782
