"name","area"
"Pine Tree Cay",2730194.594
"Pineros",1348583.355
"Pipe Cay",1526497.528
"Plana Cays",8724957.001
"Plana Cays.1",7421598.024
"Pot Cay",1954136.149
"Powell Cay",1359355.443
"Providenciales",107945329.9
"Puerto Rico",8739906340
"Raccoon Cay",4841179.521
"Ragged Island",11873811.1
"Randalls Cay",2743404.008
"Reids Cay",2545756.755
"Ronde Island",2552667.23
"Rose",2259704.902
"Royal Island",1894089.79
"Rudder Cut Cay",1586857.049
"Rum Cay Island",80843400.01
"Russel Island",4136783.773
"Saba Island",12949918.02
"Saint Lucia",605907326.9
"Saint Martin/Sint Maarten",89510269.69
"Salt Cay",6646746.279
"Samana Cay",33699812.74
"Sampson Cay",1768059.677
"San Salvador",150327880.1
"Scotland Cay",1349085.997
"Scrub Island",3469564.359
"Ship Channel Cay",1584734.426
"Shroud Cay",1605567.369
"Shroud Cay.1",4745439.511
"Sint Eustatius",20839097.78
"South Andros",739054593.2
"South Bimini Cay",8182502.242
"South Caicos",21686493.29
"Spanish Wells",27264316.2
"St Kitts",167612282.2
"St Vincent",345635633.5
"St. Croix",217778731.7
"St. John",50158375.8
"St. Thomas",72640192.26
"Staniel Cay",1811370.833
"Stocking Island",2298711.303
"Strangers Cay",1501198.852
"Sweetings Cay",8628593.314
"Terre-de-Bas",6798564.499
"Terre de Bas",1305257.64
"Terre de Haut",4535059.628
"The Bahamas",1931059.512
"Tilloo Cay",1444573.196
"Tobago",301464946.3
"Top Cay",1539284.097
"Tortola",57687324.01
"Tortue",180399000.9
"Trinidad",4848474903
"Union",8664785.875
"Viegues",134288142.6
"Virgin Gorda",22183746.12
"Waderick Wells Cay",1526268.416
"Water",2064444.24
"Water Cay",3375083.292
"West Caicos",23173375.36
"West End Cay",2919811.942
"Whale Cay",3568623.546
"Williams Island",13721475.37
"Wood Cay",4043355
"Yellow Cay",24809164.76
"Young Island",1316785.683
"Andros.17",1272111.591
"Andros.22",1091292.431
"Andros.23",1153977.316
"Andros.26",1175931.135
"Andros.35",1077784.474
