"","island_name","dist_mainland_m"
"398","Hoffman Cay",238738.640712822
"399","Ambergris Cay",229218.4175928
"400","South Bimini Cay",83571.8664894366
"401","North Bimini",83516.8809922858
"402","Bamboo Cay",222799.144100642
"403","Great Stirrup Cay",219932.536574215
"404","Elbow Cay",304118.24881848
"405","Upper Sandy Harbour",153078.849852254
"406","Big Cross Cay.1",208817.630762324
"407","Cross Cays",207604.804068524
"408","Little Cave Cay",211927.138499359
"409","Allan Cay",234837.031197178
"410","Great Sale Cay",181505.951734754
"411","Old Yankee Land",202636.078522357
"412","Grand Cay",174169.072207132
"413","Little Tobago",161982.872067731
"414","Union",210314.336340005
"415","Mayreau",216325.936640874
"416","Canouan",224718.045299796
"417","Mustique",247065.930879254
"418","Baliceaux",257202.803576181
"419","A Quatre",254402.630105387
"420","Bequia",258218.543223105
"421","Terre de Haut",569212.539607038
"422","Caja de Muertos",735926.144135606
"423","Mona",691269.704856076
"424","Saint Martin/Sint Maarten",807626.672760713
"425","Tintamarre",819271.929071356
"426","Cayo Luis Pena",844854.259639891
"427","de Culebra",846087.666413219
"428","Culebrita",852665.881141129
"429","Norman",853597.240427808
"430","Water",855943.185701555
"431","St. Thomas",854815.38189785
"432","Cayo Norte",852824.930939609
"433","Peter",855650.073983028
"434","St. John",853234.001482715
"435","Desecheo",740630.368684588
"436","Cooper",859163.291575724
"437","Great Thatch",862610.929124103
"438","Ginger",860669.499436154
"439","Hans Lollik",864479.622995859
"440","Navassa",751889.456042722
"441","Beef",866100.562394791
"442","Tortola",862332.561048742
"443","Jost Van Dyke",868576.101537254
"444","Guana",870470.749559989
"445","Great Camanoe",869445.351396885
"446","Virgin Gorda",865224.94481137
"447","Anegada",893366.385586272
"448","Little Ambergris Cay",984193.64839612
"449","Big Ambergris Cay",983638.12848324
"450","Salt Cay",986662.025729923
"451","Cotton Cay.1",993163.788155825
"452","Turks and Caicos",995475.982144152
"453","South Caicos",994762.737187411
"454","West Caicos",901169.136622178
"455","Mangrove Cay.1",923739.889319266
"456","Providenciales",904444.180713895
"457","Little Water & Pine Cay",922662.092620569
"458","Dellis Cay",926038.570750669
"459","Plana Cays",749443.97173324
"460","Plana Cays.1",754551.007117628
"461","Andros.33",323194.589097601
"462","Andros.34",324097.756680477
"463","Brigantine Cay",462119.150245622
"464","Andros.35",329038.96289746
"465","Andros.36",315690.896849478
"466","Andros.37",309751.84376828
"467","Andros.38",312976.70648917
"468","Andros.39",312866.669399552
"469","Andros.40",312248.301283516
"470","Andros.41",321980.571934594
"471","Andros.42",309456.351581117
"472","Little Bells Cay",398863.275350826
"473","Rose",301201.137579565
"474","Long Cay.2",209612.339050192
"475","Joulter Cays",208586.726235416
"476","Joulter Cays.1",207626.633398952
"477","Lynyard Cay",305015.511773782
"478","The Bahamas.1",152104.483284563
"479","Big Mangrove Cay",211319.239227294
"480","West End Cay",208084.855135397
"481","Strangers Cay",195996.730883272
