"","island","mean","sd"
"280","Andros",0.128347128629684,0.000604020271770001
"281","Andros",0.139069594442844,0.00198877280397143
"282","Andros",0.140843823552132,0.00325131326125164
"283","Andros",0.138544797897339,NA
"284","Andros",0.137931231409311,0.00971462439084071
"285","Andros",0.135964192450047,0.00873635681002003
"286","Andros",0.141254715621471,0.00405666577930993
"287","Andros",0.125646710395813,0.00023406252320525
"288","Andros",0.126694455742836,0.000411585049133136
"289","Andros",0.125137152150273,0.00118609948990204
"290","Andros",0.125107273459435,NA
"291","Andros",0.124537292867899,0.000676310408584963
"292","Martinique",0.175609334426768,0.00737819430427134
"293","Great Abaco",0.151446966927941,0.0227652495144322
"294","Gorda Cay",0.15372209250927,0.0209804222580645
"295","Top Cay",0.158927425742149,NA
"296","Mangrove Cay",0.138255149126053,NA
"297","Moore?s Island",0.161538377404213,NA
"298","Tilloo Cay",0.146444246172905,0.0154658492813453
"299","Lubbers Quarters",0.157457809895277,0.0149895487118512
"300","Long Cay",0.172335378825665,0.00026456630481501
"301","Dilly Cay",0.16884808242321,0.000779632403754518
"302","Lightbourn?s Cay",0.174663230776787,NA
"303","Big Lake Cay",0.186865836381912,NA
"304","Great Guana Cay",0.166142210364342,NA
"305","Green Turtle Cay",0.175829757004976,0.00464336727220142
"306","Basin Harbour Cay",0.176299832761288,0.00248292352933741
"307","Nun Jack Cay",0.176037274301052,0.00513001310184392
"308","Randalls Cay",0.181440286338329,0.00170657857976674
"309","Powell Cay",0.174315720796585,NA
"310","Wood Cay",0.113392844796181,0.0238289145468968
"311","Great Abaco",0.0953181087970734,NA
"312","Great Abaco",0.0971398428082466,0.00157877093989001
"313","Great Abaco",0.0978258922696114,NA
"314","Great Abaco",0.149171849712729,0.0374271691151653
"315","Great Abaco",0.100174736231565,0.00292038147510017
"316","Great Abaco",0.100736411909262,0.00489827157805187
"317","Great Abaco",0.10223975777626,NA
"318","Great Abaco",0.10431569814682,0.00293582302672335
"319","Great Abaco",0.10431569814682,0.00293582302672335
"320","Great Abaco",0.106415960937738,0.00297856317796873
"321","Great Abaco",0.108516223728657,0.000593332796624238
"322","Great Abaco",0.110515784472227,0.00223447312572175
"323","Great Abaco",0.186430563529332,0.00754745715686955
"324","Great Abaco",0.113021194934845,NA
"325","Great Abaco",0.184374786913395,0.00941121214837647
"326","Great Abaco",0.151562657207251,0.0558145709891509
"327","Great Abaco",0.111248359084129,NA
"328","Great Abaco",0.144460540264845,0.045770660887641
"329","Great Abaco",0.182961903512478,0.00184073199857691
"330","Big Cross Cay",0.173641972243786,0.00158323582759961
"331","Michael's Cay",0.17214931845665,0.00538462413854234
"332","Big Coppice Mangrove",0.159568364421527,0.0363666800032179
"333","Big Joe Downer Cay",0.169320181012154,0.00694641176389874
"334","Scotland Cay",0.145279221236706,0.00725634915113573
"335","Little Joe Downer Cay",0.17423203587532,NA
"336","Grand Bahama",0.183321420962994,0.00708076569308855
"337","August Cay",0.167640209197998,NA
"338","Man o? War Cay",0.191136822104454,0.00577097234740856
"339","Water Cay",0.195845718185107,0.00103634358048755
"340","Grand Bahama",0.187535658478737,NA
"341","Grand Bahama",0.187535658478737,NA
"342","Grand Bahama",0.186941087245941,0.000840850701216591
"343","Grand Bahama",0.186706001559893,0.000720632215642635
"344","Sweetings Cay",0.176786556839943,0.00189986050833978
"345","Jackson's Cay",0.178325802087784,NA
"346","Grand Bahama",0.19166074693203,0.00521027770661374
"347","Grand Bahama",0.19682252407074,NA
"348","The Bahamas",0.183725174516439,0.00103784968766595
"349","Guadeloupe",0.149762074010713,0.00881951584166047
"350","Marie Galante",0.145832055381366,0.00422734624162262
"351","Îlet à Fajou",0.144257567822933,0.00118960533593211
"352","Dominica",0.160306494025623,0.0103322263887038
"353","Saint Lucia",0.169041819870472,0.00577596040336832
"354","Hog Cay",0.138218730688095,NA
"355","Rum Cay Island",0.151262238621712,0.00658350668512807
"356","Crooked",0.141107444961866,0.00229317770274021
"357","Acklins",0.141802549362183,NA
"358","Barbados",0.165474817156792,0.00209431001034499
"359","Eleuthera",0.130428548724878,0.00931751842494934
"360","Current Island",0.125691786408424,NA
"361","Harbour Island",0.123798735439777,0.00426031935131457
"362","Russel Island",0.130339064945777,0.00872243027417871
"363","Cat",0.132290760800242,0.00875609198780273
"364","St Vincent",0.177086290903389,0.0120701426712311
"365","Grenada",0.143563139651503,0.00505951677252505
"366","Tobago",0.157081009103702,0.00234845961382027
"367","Mayaguana",0.163585502367753,0.00830128577601085
"368","Grand Turk",0.17800659686327,0.00131246339934137
"369","Antigua",0.144811836381753,0.00768709780193776
"370","Long Island",0.136461138725281,5.94692032488715e-05
"371","New Providence",0.138910755515099,0.00211144943693793
"372","Paradise Island",0.15608686581254,0.0217789759716629
"373","St. Croix",0.159452448785305,0.0123598769339039
"374","Great Exuma",0.135689289867878,0.0088162137504113
"375","Coakley Cay",0.135671600699425,0.00445513262184405
"376","Bowe Cay",0.135941177606583,0.00483637194004935
"377","Little Exuma",0.130229473114014,NA
"378","Jewfish Cay",0.150523990392685,0.0157868396796043
"379","Moriah Harbour Cay",0.136234174172084,0.00425033305780044
"380","Stocking Island",0.135226413607597,0.00479455737177333
"381","Green Turtle Cay",0.132398471236229,NA
"382","Great Exuma",0.132176123559475,0.000314447100027653
"383","Great Exuma",0.158996224403381,NA
"384","Great Exuma",0.138248734176159,0.00943045218472169
"385","North Caicos",0.176299410787496,0.0163666636940856
"386","Middle Caicos",0.168610739020201,0.00277986190591763
"387","Parrot Cay",0.193306788802147,0.0304399712811141
"388","North Caicos",0.166778601706028,0.000690881677502703
"389","North Caicos",0.172431992987792,0.0034997359079875
"390","Grand Cayman",0.160810107986132,0.00570989434726582
"391","East Caicos",0.17162404412573,0.00386295344260222
"392","East Caicos",0.195740379393101,0.0278618590944148
"393","Tortue",0.218253148926629,0.0111705258864361
"394","Barbuda",0.136884050709861,0.0100978213685008
"395","Barbuda",0.146928939968348,0.0166809637628758
"396","St Kitts",0.157587202265859,0.00876577119703581
"397","San Salvador",0.140514963439533,0.00784885167826989
"398","Viegues",0.150495656899043,0.013468597054553
"399","Little Inagua",0.176241229687418,0.00500143937503581
"400","Montserrat",0.15510576069355,0.00648529881000788
"401","Ronde Island",0.168393321335316,0.0319872347735096
"402","Petite Martinique",0.148526683449745,NA
"403","Carriacou Island",0.152968920767307,0.00359058485505221
"404","Terre-de-Bas",0.1498753875494,NA
"405","Terre de Bas",0.138159327208996,0.00303471007004203
"406","La Désirade",0.143871769309044,NA
"407","Nevis",0.154999700188637,0.00651817492852147
"408","Sint Eustatius",0.152127981185913,NA
"409","Saba Island",0.152771487832069,NA
"410","Île Saint-Barthélemy",0.154042840003967,NA
"411","Anguilla",0.141536027193069,0.00225974376069994
"412","Dog Island",0.143318846821785,0.00123195238197343
"413","Scrub Island",0.144739041725794,0.00280726273086156
"414","Little Cayman",0.159981429576874,0.00793814818278434
"415","Cayman Brac Island",0.157625257968903,NA
"416","Samana Cay",0.171017836779356,0.00815950113996333
"417","Cayo Blanco",0.138353660702705,0.00110196030879087
"418","Cayo Galindo",0.132476329803467,NA
"419","Cayo Cruz del Padre",0.133985862135887,0.00155258453202006
"420","Hog Cay",0.145715415477753,NA
"421","Cay Sal",0.139804422855377,NA
"422","Allen Cay",0.137208752334118,0.00702782893850966
"423","Lee Stocking Island",0.133284216125806,0.000891802359827615
"424","Norman?s Pond Cay",0.14078463613987,0.0114000060257722
"425","Bock Cay",0.142765030264854,0.0142771606393683
"426","Young Island",0.150923192501068,0.00273977696087492
"427","Conception Island",0.159791853278875,0.0158415893528786
"428","Darby Island",0.141373172402382,NA
"429","Rudder Cut Cay",0.134650145967801,0.00584992177226396
"430","Cave Cay",0.134077347815037,0.00474667290970604
"431","Big Farmer?s Cay",0.13563168545564,0.00449732731601943
"432","Green Cay",NA,NA
"433","Great Guana Cay",0.140915803611279,0.00115601429766893
"434","Bitter Guana Cay",0.134924049178759,0.00798227465838682
"435","Staniel Cay",0.132872954010963,0.0101001129239992
"436","Big Major?s Spot",0.132161498069763,0.0111062635650755
"437","Spanish Wells",0.132042542099953,NA
"438","Sampson Cay",0.128157109022141,0.0054432022649092
"439","Pipe Cay",0.127026274800301,0.00153484070879697
"440","Compass Cay",0.128111571073532,NA
"441","Bell Island",0.130038097500801,NA
"442","Halls Pond Cay",0.129237502813339,0.00550003729012614
"443","Waderick Wells Cay",0.123453525205453,0.00226820646315095
"444","Hawksbill Cay",0.120408948510885,2.99611409351818e-05
"445","Shroud Cay",0.124829955399036,0.00628220904150344
"446","Shroud Cay",0.120387762784958,NA
"447","Little San Salvador",0.135956916958094,0.00680264661622943
"448","Norman?s Cay Island",0.124846577644348,NA
"449","Gold Cay",0.137118823826313,0.00733642816330643
"450","Highbourn Cay",0.135106265544891,0.00520751708803628
"451","Ship Channel Cay",0.13229950517416,0.00985215247749744
"452","Bird Cay",0.163320146501064,0.00864810130923822
"453","Frazer?s Hog Cay",0.148679319024086,0.0213318792955884
"454","Whale Cay",0.146579657991727,0.0163498530430805
"455","Bonds Cay",0.131772227585316,0.00327132247758219
"456","Royal Island",0.135627582669258,0.0111039573323212
"457","Little Harbour Cay",0.131561197340488,0.00318852499368254
"458","Hoffman Cay",0.131006973485152,0.009222235276355
"459","Ambergris Cay",0.144266530871391,0.0137706926094165
"460","South Bimini Cay",0.156763058900833,0.0144821202441961
"461","North Bimini",0.150811314582825,NA
"462","Bamboo Cay",0.163965091109276,NA
