"name","mean_elev","median_elev","min_elev","max_elev"
"Turks and Caicos",8.53947368421053,7,1,24
"South Caicos",7.88592057761733,7,-6,45
"West Caicos",6.23912553527158,6,-7,17
"Mangrove Cay.1",2.6784140969163,3,-24,18
"Providenciales",9.4150779477774,8,-40,96
"Little Water & Pine Cay",4.73592233009709,5,-65,9
"Dellis Cay",3.75318066157761,4,1,7
"Plana Cays",4.60627590290112,5,-126,27
"Plana Cays.1",5.86293706293706,6,-89,21
"Andros.33",3.37757009345794,3,-23,56
"Andros.34",3.57028112449799,4,0,9
"Brigantine Cay",6.52340425531915,6,-1,19
"Andros.35",4.33488372093023,4,1,8
"Andros.36",4.11068965517241,4,-58,65
"Andros.37",3.23053892215569,4,-53,33
"Andros.38",3.38571428571429,3,-37,9
"Andros.39",4.13255033557047,4,-14,22
"Andros.40",3.90909090909091,4,-30,62
"Andros.41",3.2530612244898,3,-3,9
"Andros.42",3.29865771812081,4,-14,6
"Little Bells Cay",7.61637931034483,7,-13,22
"Rose",10.7690582959641,11,-132,116
"Long Cay.2",4.38349514563107,4,-2,7
"Joulter Cays",5.05489614243323,5,0,13
"Joulter Cays.1",5.6989247311828,6,0,10
"Lynyard Cay",6.25373134328358,6,-1,12
"The Bahamas.1",0.331707317073171,0,-2,3
"Big Mangrove Cay",-0.292237442922374,0,-2,2
"West End Cay",0.805084745762712,1,-1,4
"Strangers Cay",3.12871287128713,2,-3,13
