"name","TRI","mean_elev","median_elev","min_elev","max_elev","Nearest_Dist","nearest_occ","richness","area","mean_csi","sd_csi","bp"
"Darby Island",8.77083961074763,9.61137440758294,9,-17,25,3688.52280350414,44774.8234488761,0,3252194.706,0.141373172402382,0,0
"de Culebra",32.5921464298324,44.7140897511268,38,-5,190,4232.50640941703,26738.1440681971,0,27118805.85,0.151273988187313,0.000303193891475244,0
"Dellis Cay",2.58946877551139,3.75318066157761,4,1,7,2643.78828246847,11347.3801494485,0,2005831.744,0.214831098914146,0,0
"Desecheo",71.5000454670674,71.1531531531532,65,1,185,54522.2887237728,0,1,1186876.211,0.23640051484108,0,0
"Dilly Cay",10.0524969081001,5.38912133891213,5,-36,12,8439.93753605576,138532.797240534,0,1219924.759,0.16884808242321,0.000779632403754518,0
"Dog Island",11.2966102397442,12.31,10,-4,32,21966.0152505749,21966.0152505749,0,2104009.567,0.143318846821785,0.00123195238197343,0
"Dominica",63.4398623846722,353.985473353467,318,-181,1419,54141.6482634618,94015.1973599981,0,753454493.5,0.160306494025623,0.0103322263887038,0
"East Caicos",3.52895704917876,5.97644234574089,5,-18,85,10631.8670841894,48476.229989069,0,197458120.8,0.17162404412573,0.00386295344260222,0
"East Caicos.1",4.0273828945951,3.89861751152074,4,-12,7,8027.66395227843,55994.4898416007,0,1154161.34,0.195740379393101,0.0278618590944148,0
"Elbow Cay",7.56550810457599,9.14673242909988,8,0,26,4167.85714242653,142976.875509986,0,4077013.436,0.151520481705666,0.0190692660589974,0
"Eleuthera",6.58706119225495,11.8739483933215,10,-225,125,54782.1916809776,0,3,431551463,0.130428548724878,0.00931751842494934,0
"Flamingo Cay",7.69479588074471,6.71144278606965,5,-1,27,46066.2709839475,77644.0271717062,0,1072467.508,0.133803971111774,0.00347430170001066,0
"Frazer?s Hog Cay",5.1269196775242,4.98742554599603,4,-12,15,5511.14982210001,63415.0037492256,0,7636619.954,0.148679319024086,0.0213318792955884,0
"Gaspar Grande",39.8243469245703,42.307392996109,39,2,98,4571.07391161921,47655.5611064346,0,1406764.278,0.17224109172821,0.000817880668778154,0
"Gold Cay",2.84036054580243,4.91688311688312,5,0,7,6537.83410560955,81270.4653268247,0,1982187.622,0.137118823826313,0.00733642816330643,0
"Gorda Cay",8.48469533451966,3.22584033613445,3,-166,21,16707.7046893768,105778.509569894,0,4788737.021,0.15372209250927,0.0209804222580645,0
"Grand Bahama",2.79162224534068,4.28378719244958,4,-132,111,15760.0466317502,0,2,954036918.8,0.183321420962994,0.00708076569308855,0
"Grand Bahama.1",3.03417267557941,2.30379746835443,2,-14,9,1030.55884495203,38221.6961545212,0,1982726.211,0.187535658478737,0,0
"Grand Bahama.2",2.5268212761308,2.09385113268608,2,0,12,1030.55884495203,39195.5582678044,0,1559327.293,0.187535658478737,0,0
"Grand Bahama.3",2.17728418653662,2.41454545454545,2,0,6,1257.67128031535,36074.8421545412,0,1377795.134,0.186941087245941,0.000840850701216591,0
"Grand Bahama.4",4.3592200784537,3.78751369112815,3,-13,90,1257.67128031535,36975.6073681103,0,4583197.723,0.186706001559893,0.000720632215642635,0
"Grand Bahama.5",2.17494620313154,1.35046728971963,1,-1,4,11273.5666769627,23037.9549683458,0,2116951.048,0.19166074693203,0.00521027770661374,0
"Grand Bahama.6",1.97603309500045,1.27826086956522,1,-1,5,2637.60201326964,15760.0466317502,0,1740780.11,0.19682252407074,0,0
"Grand Cay",2.61328808093434,0.83502538071066,1,-5,5,27280.740523284,65782.2545342388,0,1978273.968,0.195031099021435,0.00822762327506928,0
"Grand Cayman",4.57865220046611,6.78741554274385,6,-122,71,132749.590664412,0,3,202825067.5,0.160810107986132,0.00570989434726582,0
"Grand Turk",5.89208554711047,7.07288712422008,6,-9,27,11478.2644793966,97034.0255090141,1,18424807.72,0.17800659686327,0.00131246339934137,0
"Grande Cayemite",16.6111329679698,81.14490598109,72,-55,371,6346.85922136634,264208.040658985,0,50024761.91,0.185965582728386,0.00479110622474865,0
"Great Abaco",5.28627324955147,5.08055926901475,5,-722,141,2932.85396138576,119970.795225975,0,1139138737,0.151446966927941,0.0227652495144322,0
"Great Abaco.1",93.039802659499,-24.4254385964912,0,-243,3,2932.85396138576,117254.702100507,0,1152820.288,0.0953181087970734,0,0
"Great Abaco.10",41.5886660572884,-7.05863956215794,0,-490,6,2040.28789419403,115464.390314559,0,6395422.914,0.106415960937738,0.00297856317796873,0
"Great Abaco.13",23.8285447510321,-0.707089552238806,2,-185,60,3618.4916571148,119026.472479321,0,2691642.836,0.186430563529332,0.00754745715686955,0
"Great Abaco.16",52.3286819568157,-4.41132637853949,1,-706,65,1756.01605104554,115639.597217944,0,3366036.497,0.151562657207251,0.0558145709891509,0
"Great Abaco.17",7.98565909190056,-0.387464387464387,0,-48,3,4480.27255514193,109534.007693292,0,1744013.752,0.111248359084129,0,0
"Great Abaco.18",12.6360438358093,1.8731884057971,1,-54,41,1756.01605104554,114004.387022615,0,1407934.715,0.144460540264845,0.045770660887641,0
"Great Abaco.19",24.0651015664026,-1.72811059907834,0,-49,21,5728.50840519098,119941.888462413,0,1077667.242,0.182961903512478,0.00184073199857691,0
"Great Abaco.2",126.183974321852,-19.6595744680851,0,-510,9,3262.95083481388,118075.479546505,0,2610653.363,0.0971398428082466,0.00157877093989001,0
"Great Abaco.3",4.27805240485194,0.271293375394322,1,-18,4,4288.08600601499,112626.107021545,0,1601427.006,0.0978258922696114,0,0
"Great Abaco.4",105.879546241396,-23.8662420382166,0,-635,2,2720.16145206113,121652.052110923,0,2354217.079,0.149171849712729,0.0374271691151653,0
"Great Abaco.5",73.1192264908794,-17.0258302583026,0,-544,41,1995.77061481168,119446.937487592,0,1378847.437,0.100174736231565,0.00292038147510017,0
